issue_number,OriginationPhase,DetectionPhase,Category,Priority,Status,created_at,closed_at,Author
52,Documentation,Field,Enhancement,Major,pendingReview,2/19/2019,,"O'Keefe, Blaise"
53,Design,Coding,Inquiry,Low,inProgress,2/20/2019,,"Keebler, Tressie"
54,Testing,Field,Bug,Medium,Completed,2/21/2019,3/15/2019,"Konopelski, Adalberto"
55,Documentation,Field,Enhancement,Major,pendingReview,2/22/2019,,"Lemke, Rhea"
56,Design,Coding,Inquiry,High,inProgress,2/23/2019,,"Bosco, Keegan"
57,Coding,Testing,Bug,Low,Completed,2/24/2019,3/18/2019,"Kautzer, Chester"
58,Design,Coding,Inquiry,High,inProgress,2/25/2019,,"Keebler, Tressie"
59,Coding,Testing,Bug,High,Completed,3/4/2019,3/20/2019,"Friesen, Sheila"
60,Testing,Field,Enhancement,High,Completed,3/5/2019,3/21/2019,"Murray, Noelia"
61,Design,Testing,Inquiry,High,Approved,3/6/2019,,"Kutch, Cloyd"
62,Testing,Field,Bug,Medium,Completed,2/27/2019,3/23/2019,"Littel, Frederick"
63,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Murazik, Robbie"
64,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Hermann, Bradford"
65,Coding,Testing,Bug,Low,Completed,3/2/2019,3/26/2019,"Nader, Lowell"
66,Design,Coding,Inquiry,High,inProgress,3/3/2019,,"Rosenbaum, Joshua"
67,Coding,Testing,Bug,Low,Completed,3/4/2019,3/28/2019,"Konopelski, Adalberto"
68,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/29/2019,"Ryan, Lucienne"
69,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Howell, Emelie"
70,Coding,Testing,Bug,Low,Completed,3/4/2019,3/15/2019,"Predovic, Scarlett"
71,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/16/2019,"Konopelski, Adalberto"
72,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Hermann, Bradford"
73,Requirements,Coding,Bug,High,inProgress,2/7/2019,,"Schinner, Elinore"
74,Requirements,Design,Inquiry,Low,Rejected,2/8/2019,3/19/2019,"Willms, Stephany"
75,Testing,Field,Bug,Medium,Completed,2/9/2019,3/10/2019,"Hegmann, Price"
76,Documentation,Field,Inquiry,Major,pendingReview,2/10/2019,,"Kihn, Jordi"
77,Design,Testing,Enhancement,High,Approved,2/11/2019,,"Zboncak, Ruth"
78,Requirements,Design,Inquiry,Low,Rejected,2/12/2019,3/13/2019,"Dare, Gloria"
79,Testing,Field,Bug,Medium,Completed,2/13/2019,3/14/2019,"Grimes, Jordi"
80,Documentation,Field,Enhancement,Major,pendingReview,3/14/2019,,"Abbott, Werner"
81,Design,Testing,Inquiry,Critical,Approved,3/15/2019,,"Wisozk, Ismael"
82,Requirements,Coding,Bug,High,inProgress,3/16/2019,,"Hauck, Hiram"
83,Requirements,Design,Inquiry,Low,Rejected,3/17/2019,3/25/2019,"Dooley, Davin"
84,Testing,Field,Bug,Medium,Completed,3/18/2019,3/26/2019,"Abbott, Werner"
85,Documentation,Field,Bug,Major,pendingReview,3/19/2019,,"Keeling, Cheyenne"
86,Design,Coding,Bug,High,inProgress,3/20/2019,,"Legros, Elinor"
87,Requirements,Testing,Bug,High,Completed,3/17/2019,3/25/2019,"Wuckert, Jamel"
88,Testing,Field,Bug,Medium,Completed,2/27/2019,3/18/2019,"Abbott, Werner"
89,Documentation,Field,Bug,Major,pendingReview,2/28/2019,,"Sporer, Eugene"
90,Design,Coding,Bug,High,inProgress,3/1/2019,,"Nitzsche, Gennaro"
91,Coding,Testing,Bug,Low,Completed,3/2/2019,3/3/2019,"Konopelski, Adalberto"
92,Design,Coding,Bug,High,inProgress,3/3/2019,,"Hammes, Lesly"
93,Coding,Testing,Bug,Low,Completed,3/4/2019,3/15/2019,"Murazik, Robbie"
94,Testing,Field,Bug,Medium,Completed,3/5/2019,3/16/2019,"Veum, Alvina"
95,Design,Testing,Bug,Critical,Approved,8/6/2019,,"Cummerata, Mac"
96,Requirements,Coding,Bug,Critical,inProgress,8/7/2019,,"Welch, Maryse"
97,Requirements,Design,Inquiry,Low,Rejected,3/8/2019,3/19/2019,"Deckow, Eulalia"
98,Testing,Field,Bug,Medium,Completed,3/9/2019,3/10/2019,"Veum, Alvina"
99,Documentation,Field,Inquiry,Major,pendingReview,3/10/2019,,"Hermann, Bradford"
100,Design,Testing,Enhancement,High,Approved,3/11/2019,,"Maggio, Jerod"
101,Requirements,Design,Inquiry,Low,Rejected,4/12/2019,5/13/2019,"Mraz, Francisca"
102,Testing,Field,Bug,Medium,Completed,4/13/2019,5/14/2019,"Bahringer, Frances"
103,Documentation,Field,Enhancement,Major,pendingReview,1/5/2019,,"Kutch, May"
104,Design,Testing,Bug,Critical,Approved,1/6/2019,,"Emmerich, Drake"
105,Requirements,Coding,Bug,High,Approved,1/7/2019,,"Maggio, Alek"
106,Requirements,Design,Inquiry,Low,Approved,1/8/2019,,"Wiegand, Chris"
107,Testing,Field,Bug,Medium,Approved,1/9/2019,,"Braun, Luigi"
108,Documentation,Field,Enhancement,Major,Approved,1/10/2019,,"Wunsch, Columbus"
109,Design,Coding,Inquiry,Low,Approved,1/11/2019,,"Conn, Belle"
110,Testing,Field,Bug,Medium,Approved,1/12/2019,,"Bahringer, Frances"
111,Documentation,Field,Enhancement,Major,pendingReview,1/13/2019,,"Bauch, Reggie"
112,Design,Coding,Inquiry,High,inProgress,1/14/2019,,"Rath, Maxwell"
113,Coding,Testing,Bug,Low,Completed,1/15/2019,2/18/2019,"Dare, Lexus"
114,Design,Coding,Inquiry,High,inProgress,1/16/2019,,"Dibbert, Felicia"
115,Coding,Testing,Bug,Low,Completed,5/17/2019,5/20/2019,"O'Kon, Shad"
116,Testing,Field,Enhancement,Medium,Completed,5/18/2019,5/21/2019,"Harber, Jayne"
117,Design,Testing,Inquiry,Critical,Approved,5/19/2019,,"Fay, Ari"
118,Testing,Field,Bug,Medium,Completed,5/20/2019,6/23/2019,"Mraz, Francisca"
119,Documentation,Field,Enhancement,Major,pendingReview,5/21/2019,,"Daugherty, Alexie"
120,Design,Coding,Inquiry,High,inProgress,1/22/2019,,"Hyatt, Myra"
121,Coding,Testing,Bug,Low,Completed,3/2/2019,3/26/2019,"Klocko, Darian"
122,Design,Coding,Inquiry,High,inProgress,3/3/2019,,"Kertzmann, Hal"
123,Testing,Field,Bug,Medium,Completed,2/27/2019,3/18/2019,"Hauck, Shawna"
124,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Dibbert, Felicia"
125,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Nikolaus, Raven"
126,Coding,Testing,Bug,Low,Completed,3/2/2019,3/3/2019,"Raynor, Lilly"
127,Design,Coding,Inquiry,High,inProgress,3/3/2019,,"Fay, Dawn"
128,Coding,Testing,Bug,Low,Completed,3/4/2019,3/15/2019,"Nader, Ruben"
129,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/16/2019,"Beier, Edgar"
130,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Nikolaus, Raven"
131,Requirements,Coding,Bug,High,inProgress,3/7/2019,,"Klocko, Darian"
132,Requirements,Design,Inquiry,Low,Rejected,3/8/2019,3/19/2019,"Littel, Freddie"
133,Testing,Field,Bug,Medium,Completed,3/9/2019,3/10/2019,"Carroll, Craig"
134,Documentation,Field,Inquiry,Major,pendingReview,3/10/2019,,"Bednar, Elmore"
135,Design,Testing,Enhancement,High,Approved,4/11/2019,4/12/2019,"Botsford, Leatha"
136,Requirements,Design,Inquiry,Low,Rejected,4/12/2019,4/13/2019,"Schumm, Bill"
137,Testing,Field,Bug,Medium,Completed,4/13/2019,4/14/2019,"Bosco, Angie"
138,Documentation,Field,Enhancement,Major,pendingReview,3/14/2019,,"Fay, Ari"
139,Design,Testing,Inquiry,Critical,Approved,3/15/2019,,"Sauer, Monroe"
140,Requirements,Coding,Bug,High,inProgress,7/16/2019,8/24/2019,"Graham, Trevor"
141,Requirements,Design,Inquiry,Low,Rejected,7/17/2019,8/25/2019,"Dare, Lexus"
142,Testing,Field,Bug,Medium,Rejected,7/18/2019,8/26/2019,"Mraz, Francisca"
143,Documentation,Field,Enhancement,Major,Rejected,7/19/2019,8/27/2019,"Halvorson, Dean"
144,Design,Coding,Inquiry,High,Rejected,7/20/2019,8/28/2019,"Harber, Jayne"
145,Requirements,Testing,Bug,High,Completed,7/21/2019,8/29/2019,"Bruen, Mackenzie"
146,Testing,Field,Bug,Medium,Completed,7/22/2019,8/30/2019,"Gutmann, Rocio"
147,Documentation,Field,Enhancement,Major,pendingReview,7/23/2019,8/31/2019,"Waelchi, Loma"
148,Design,Coding,Inquiry,High,inProgress,8/1/2019,8/20/2019,"Klocko, Darian"
149,Coding,Testing,Bug,Low,Completed,8/2/2019,8/21/2019,"Botsford, Leatha"
150,Design,Coding,Inquiry,High,inProgress,8/3/2019,8/22/2019,"Emard, Shanna"
151,Coding,Testing,Bug,Low,Completed,8/4/2019,8/23/2019,"Klocko, Darian"
152,Testing,Field,Enhancement,Medium,Completed,8/5/2019,8/24/2019,"Blanda, Emmett"
153,Design,Testing,Inquiry,Critical,Approved,8/6/2019,8/25/2019,"Botsford, Leatha"
154,Requirements,Coding,Bug,Critical,inProgress,8/7/2019,,"Fay, Nasir"
155,Requirements,Design,Inquiry,Low,Rejected,8/8/2019,3/19/2019,"Marks, Loy"
156,Testing,Field,Bug,Medium,Completed,8/9/2019,3/10/2019,"Bogisich, Audra"
157,Documentation,Field,Inquiry,Major,pendingReview,3/10/2019,,"Mraz, Francisca"
158,Design,Testing,Enhancement,High,Approved,3/11/2019,3/12/2019,"Sauer, Monroe"
159,Requirements,Design,Inquiry,Low,Rejected,3/12/2019,3/13/2019,"Ritchie, Geovanny"
160,Testing,Field,Bug,Low,Completed,2/13/2019,3/7/2019,"Schmitt, Virginia"
161,Documentation,Field,Enhancement,Low,pendingReview,2/14/2019,,"Weimann, Rafaela"
162,Design,Testing,Bug,Low,Approved,2/15/2019,3/9/2019,"Wiza, Kian"
163,Requirements,Coding,Bug,Low,inProgress,2/16/2019,,"Armstrong, Jose"
164,Requirements,Design,Inquiry,Low,Rejected,2/17/2019,3/11/2019,"Koch, Caden"
165,Testing,Field,Bug,Low,Completed,2/18/2019,3/12/2019,"Prosacco, Filomena"
166,Documentation,Field,Enhancement,Major,pendingReview,2/19/2019,,"Kerluke, Philip"
167,Design,Coding,Inquiry,Low,inProgress,2/20/2019,,"Littel, Freddie"
168,Testing,Field,Bug,Medium,Completed,2/21/2019,3/15/2019,"Harber, Jayne"
169,Documentation,Field,Enhancement,Major,pendingReview,2/22/2019,,"Stroman, Ryann"
170,Design,Coding,Inquiry,High,inProgress,2/23/2019,,"Lowe, Kamryn"
171,Coding,Testing,Bug,Low,Completed,2/24/2019,3/18/2019,"Dare, Lexus"
172,Design,Coding,Inquiry,High,inProgress,2/25/2019,,"Ritchie, Geovanny"
173,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/21/2019,"Tromp, Morris"
174,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Blanda, Emmett"
175,Testing,Field,Bug,Medium,Completed,2/27/2019,3/23/2019,"Conn, Belle"
176,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,3/24/2019,"Hauck, Shawna"
177,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Daugherty, Alexie"
178,Coding,Testing,Bug,Low,Completed,3/2/2019,3/26/2019,"Nikolaus, Dennis"
179,Design,Coding,Inquiry,High,inProgress,3/3/2019,,"Witting, Clarabelle"
180,Coding,Testing,Bug,Low,Completed,3/4/2019,3/28/2019,"Dare, Lexus"
181,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/29/2019,"Gaylord, Demario"
182,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Waelchi, Loma"
183,Coding,Testing,Bug,Low,Completed,3/4/2019,3/15/2019,"Green, Marian"
184,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/16/2019,"Emmerich, Drake"
185,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Witting, Clarabelle"
186,Requirements,Coding,Bug,High,inProgress,3/7/2019,,"Kerluke, Philip"
187,Requirements,Design,Bug,Low,Rejected,3/8/2019,3/19/2019,"Conn, Belle"
188,Testing,Field,Bug,Medium,Completed,3/9/2019,3/10/2019,"Yundt, Emerald"
189,Documentation,Field,Bug,Major,pendingReview,3/10/2019,3/11/2019,"Marks, Loy"
190,Design,Testing,Bug,High,Approved,3/11/2019,,"Conn, Ralph"
191,Requirements,Design,Bug,Low,Rejected,9/12/2019,9/17/2019,"Green, Marian"
192,Testing,Field,Bug,Medium,Completed,9/13/2019,9/18/2019,"Schumm, Bill"
193,Documentation,Field,Bug,Major,pendingReview,9/14/2019,,"Sauer, Monroe"
194,Design,Testing,Bug,Critical,Approved,9/15/2019,9/20/2019,"Bogisich, Audra"
195,Requirements,Coding,Bug,High,inProgress,9/16/2019,,"Schamberger, Fausto"
196,Requirements,Design,Bug,Low,Rejected,9/17/2019,9/22/2019,"Armstrong, Jose"
197,Testing,Field,Bug,Medium,Completed,9/18/2019,9/23/2019,"Beier, Edgar"
198,Documentation,Field,Enhancement,Major,pendingReview,9/19/2019,,"Armstrong, Jose"
199,Design,Coding,Inquiry,High,inProgress,9/20/2019,,"Bernier, Paolo"
200,Requirements,Testing,Bug,High,Completed,9/21/2019,9/26/2019,"Blanda, Emmett"
201,Testing,Field,Bug,Medium,Completed,9/22/2019,9/27/2019,"Kovacek, Petra"
202,Documentation,Field,Enhancement,Major,pendingReview,9/23/2019,,"Wolf, Willow"
203,Design,Coding,Inquiry,High,inProgress,9/24/2019,,"Feeney, Serena"
204,Coding,Testing,Bug,Low,Completed,9/25/2019,9/30/2019,"Blanda, Heloise"
205,Design,Testing,Inquiry,High,inProgress,9/26/2019,,"Bradtke, Sigurd"
206,Coding,Testing,Bug,Low,Completed,9/27/2019,10/2/2019,"Cassin, Dorian"
207,Testing,Field,Enhancement,Medium,Completed,9/28/2019,10/3/2019,"Thiel, Verlie"
208,Design,Testing,Inquiry,Critical,Approved,9/29/2019,,"O'Kon, Brando"
209,Requirements,Coding,Bug,Critical,inProgress,9/30/2019,,"Kemmer, Jacklyn"
210,Requirements,Design,Inquiry,Low,Rejected,10/1/2019,10/6/2019,"Heaney, Jude"
211,Testing,Field,Bug,Medium,Completed,10/2/2019,10/7/2019,"Rau, Lazaro"
212,Documentation,Field,Inquiry,Major,pendingReview,2/9/2019,,"Williams, Amy"
213,Design,Testing,Enhancement,High,Approved,2/10/2019,,"Williams, Amy"
214,Requirements,Design,Inquiry,Low,Rejected,2/11/2019,3/13/2019,"Williams, Amy"
215,Testing,Field,Bug,Medium,Completed,2/12/2019,3/7/2019,"Williams, Amy"
216,Documentation,Field,Enhancement,Major,pendingReview,2/13/2019,,"Williams, Amy"
217,Design,Testing,Bug,Critical,Approved,2/14/2019,,"Williams, Amy"
218,Requirements,Coding,Bug,High,inProgress,2/15/2019,,"Williams, Amy"
219,Requirements,Design,Inquiry,Low,Rejected,2/16/2019,4/2/2019,"Williams, Amy"
220,Testing,Field,Bug,Medium,Completed,2/17/2019,4/9/2019,"Williams, Amy"
221,Documentation,Field,Enhancement,Major,pendingReview,2/18/2019,,"Williams, Amy"
222,Design,Coding,Inquiry,Low,inProgress,1/11/2019,,"Williams, Amy"
223,Testing,Field,Bug,Medium,Completed,10/12/2019,10/15/2019,"Williams, Amy"
224,Documentation,Field,Enhancement,Major,pendingReview,10/13/2019,,"Jenkins, Margarette"
225,Design,Coding,Inquiry,High,inProgress,10/14/2019,,"Weimann, Rodger"
226,Coding,Testing,Bug,Low,Completed,10/15/2019,10/18/2019,"Blanda, Heloise"
227,Design,Coding,Inquiry,High,inProgress,10/16/2019,,"Feeney, Serena"
228,Coding,Testing,Bug,Low,Completed,10/17/2019,10/20/2019,"Sipes, Dave"
229,Testing,Field,Enhancement,Medium,Completed,10/18/2019,10/21/2019,"Flatley, Savannah"
230,Design,Testing,Inquiry,Critical,Approved,10/19/2019,,"Heaney, Jude"
231,Testing,Field,Bug,Medium,Completed,10/20/2019,10/23/2019,"Thompson, Cloyd"
232,Documentation,Field,Enhancement,Major,pendingReview,10/21/2019,,"Mertz, Cleta"
233,Design,Coding,Inquiry,High,inProgress,10/22/2019,,"Glover, Chester"
234,Coding,Testing,Bug,Low,Completed,10/23/2019,10/26/2019,"Flatley, Savannah"
235,Design,Coding,Inquiry,High,inProgress,10/24/2019,,"Runolfsdottir, Zelda"
236,Testing,Field,Bug,Medium,Completed,2/27/2019,3/18/2019,"Marquardt, Elsa"
237,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Denesik, Colin"
238,Design,Coding,Inquiry,High,inProgress,8/1/2019,,"Jones, Aaliyah"
239,Coding,Testing,Bug,Low,Completed,8/2/2019,8/15/2019,"Kozey, Arthur"
240,Design,Coding,Inquiry,High,inProgress,8/3/2019,,"Feeney, Serena"
241,Coding,Testing,Bug,Low,Completed,8/4/2019,8/17/2019,"Willms, Casimir"
242,Testing,Field,Enhancement,Medium,Completed,8/5/2019,8/18/2019,"Runolfsdottir, Zelda"
243,Design,Testing,Inquiry,Critical,Approved,8/6/2019,,"Quitzon, Arnulfo"
244,Requirements,Coding,Bug,High,inProgress,8/7/2019,,"Fisher, Gwendolyn"
245,Requirements,Design,Inquiry,Low,Rejected,8/8/2019,8/21/2019,"Stroman, Julio"
246,Testing,Field,Bug,Medium,Completed,8/9/2019,8/22/2019,"Quigley, Cruz"
247,Documentation,Field,Inquiry,Major,pendingReview,8/10/2019,,"Jones, Aaliyah"
248,Design,Testing,Enhancement,High,Approved,8/11/2019,8/24/2019,"Glover, Chester"
249,Requirements,Design,Inquiry,Low,Rejected,8/12/2019,8/25/2019,"Brown, Lydia"
250,Testing,Field,Bug,Medium,Completed,8/13/2019,8/26/2019,"Weimann, Rodger"
251,Documentation,Field,Enhancement,Major,pendingReview,8/14/2019,,"Rodriguez, Murray"
252,Design,Testing,Inquiry,Critical,Approved,8/15/2019,8/28/2019,"Rosenbaum, Garnet"
253,Requirements,Coding,Bug,High,inProgress,8/16/2019,,"Mayert, Kaya"
254,Requirements,Coding,Inquiry,Low,Rejected,8/17/2019,8/30/2019,"Fadel, Katelynn"
255,Testing,Field,Bug,Medium,Completed,8/18/2019,8/31/2019,"Witting, Millie"
256,Documentation,Field,Enhancement,Major,pendingReview,8/19/2019,,"Von, Joseph"
257,Requirements,Testing,Bug,High,Completed,8/20/2019,9/2/2019,"O'Keefe, Liana"
258,Testing,Field,Bug,Medium,Completed,8/21/2019,9/3/2019,"Wintheiser, Shyann"
259,Documentation,Field,Enhancement,Major,pendingReview,8/22/2019,,"Stark, Monty"
260,Design,Coding,Inquiry,High,inProgress,8/23/2019,,"Stoltenberg, Camila"
261,Coding,Testing,Bug,Low,Completed,8/24/2019,9/6/2019,"Littel, Jacklyn"
262,Design,Coding,Inquiry,High,inProgress,8/25/2019,,"Hegmann, Bradford"
263,Coding,Testing,Bug,Low,Completed,8/26/2019,9/8/2019,"Morar, Favian"
264,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/16/2019,"Kohler, Quentin"
265,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Willms, Casimir"
266,Requirements,Coding,Bug,Critical,inProgress,3/7/2019,,"Thiel, Verlie"
267,Requirements,Design,Inquiry,Low,Rejected,11/8/2019,11/19/2019,"Reinger, Unique"
268,Testing,Field,Bug,Medium,Completed,11/9/2019,11/20/2019,"Thiel, Verlie"
269,Documentation,Field,Inquiry,Major,pendingReview,11/10/2019,,"White, Maya"
270,Design,Testing,Enhancement,High,Approved,11/11/2019,,"Wolff, Reginald"
271,Requirements,Design,Inquiry,Low,Rejected,11/12/2019,11/13/2019,"Von, Joseph"
272,Testing,Field,Bug,Medium,Completed,11/13/2019,11/14/2019,"Mayert, Kaya"
273,Documentation,Field,Enhancement,Major,pendingReview,11/14/2019,,"Turcotte, Donato"
274,Design,Testing,Bug,Critical,Approved,11/15/2019,,"Stiedemann, Clementina"
275,Requirements,Coding,Bug,High,inProgress,11/16/2019,,"Quigley, Cruz"
276,Requirements,Design,Inquiry,Low,Rejected,11/17/2019,,"Heaney, Jude"
277,Testing,Field,Bug,Medium,Completed,11/18/2019,12/12/2019,"Kozey, Arthur"
278,Documentation,Field,Enhancement,Major,pendingReview,11/19/2019,,"Hane, Aglae"
279,Design,Coding,Inquiry,Low,inProgress,11/20/2019,,"Dach, Abraham"
280,Testing,Field,Bug,Medium,Completed,11/21/2019,12/15/2019,"Quigley, Cruz"
281,Documentation,Field,Enhancement,Major,pendingReview,11/22/2019,,"Denesik, Colin"
282,Design,Coding,Inquiry,High,inProgress,11/23/2019,,"Rodriguez, Murray"
283,Coding,Testing,Bug,Low,Completed,11/24/2019,12/18/2019,"Gleichner, Khalil"
284,Design,Coding,Inquiry,High,inProgress,11/25/2019,,"Glover, Chester"
285,Coding,Testing,Bug,Low,Completed,3/4/2019,3/20/2019,"Lynch, Blanche"
286,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/21/2019,"Barton, Zora"
287,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Hudson, Connie"
288,Testing,Field,Bug,Medium,Completed,2/27/2019,3/23/2019,"Robel, Diana"
289,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Schimmel, Rhiannon"
290,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Dach, Abraham"
291,Coding,Testing,Bug,Low,Completed,3/2/2019,3/26/2019,"Ankunding, Allison"
292,Design,Coding,Inquiry,High,inProgress,3/3/2019,,"Rau, Guiseppe"
293,Coding,Testing,Bug,Low,Completed,3/4/2019,3/28/2019,"Wintheiser, Shyann"
294,Testing,Field,Enhancement,Medium,Completed,3/5/2019,,"Goyette, Kale"
295,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Hartmann, Marlee"
296,Coding,Testing,Bug,Low,Completed,3/4/2019,3/15/2019,"O'Reilly, Ron"
297,Testing,Field,Enhancement,Medium,Completed,3/5/2019,3/16/2019,"Littel, Jacklyn"
298,Design,Testing,Inquiry,Critical,Approved,3/6/2019,,"Kohler, Quentin"
299,Requirements,Coding,Bug,High,inProgress,3/7/2019,,"Rosenbaum, Garnet"
300,Requirements,Design,Inquiry,Low,Rejected,3/8/2019,,"Jones, Aaliyah"
301,Testing,Field,Bug,Medium,Completed,3/9/2019,3/10/2019,"Langworth, Tillman"
302,Documentation,Field,Inquiry,Major,pendingReview,3/10/2019,,"Funk, Fredrick"
303,Design,Testing,Enhancement,High,Approved,3/11/2019,,"Kozey, Loyal"
304,Requirements,Design,Inquiry,Low,Rejected,3/12/2019,3/13/2019,"Ferry, Brian"
305,Testing,Field,Bug,Medium,Completed,3/13/2019,3/14/2019,"Huels, Peggie"
306,Documentation,Field,Enhancement,Major,pendingReview,3/14/2019,,"Waelchi, Ludwig"
307,Design,Testing,Inquiry,Critical,Approved,3/15/2019,,"Lemke, Creola"
